Date,Close,Upper_Band,Lower_Band
2022-05-18,82600,95335.56131567413,78764.43868432587
2022-05-19,80400,94191.75460820641,78438.24539179359
2022-05-20,83000,92996.18283603618,78573.81716396382
2022-05-23,82900,92019.53621238783,78640.46378761217
2022-05-24,80600,91550.91901814635,78199.08098185365
2022-05-25,81800,90767.38548619472,78142.61451380528
2022-05-26,81500,90266.86181170464,77953.13818829536
2022-05-27,81700,89461.57459765002,77998.42540234998
2022-05-30,83900,88376.06701808359,78483.93298191641
2022-05-31,85000,87981.23932880537,78648.76067119463
2022-06-02,83700,87062.81037399638,79087.18962600362
2022-06-03,85700,86048.15232262644,79771.84767737356
2022-06-07,81900,85887.63916895728,79692.36083104272
2022-06-08,81500,85744.35781936864,79575.64218063136
2022-06-09,81300,85653.20645524502,79436.79354475498
2022-06-10,80100,85264.59201126215,79295.40798873785
2022-06-13,76500,85972.54977378223,78167.45022621777
2022-06-14,76600,86417.49960733418,77202.50039266582
2022-06-15,72700,87468.4379977839,75191.5620022161
2022-06-16,72300,88055.49553078492,73514.50446921508
2022-06-17,72200,88422.46993800646,72107.53006199354
2022-06-20,69600,89172.66749270089,70277.33250729911
2022-06-21,70500,89262.26249156032,68937.73750843968
2022-06-22,68500,89411.93450612237,67348.06549387763
2022-06-23,67100,89768.77352153763,65641.22647846237
2022-06-24,71500,89396.27966080983,64983.72033919017
2022-06-27,71800,88960.95021976993,64449.04978023007
2022-06-28,71600,88421.6374129098,63978.3625870902
2022-06-29,70800,87428.55342922595,63661.446570774046
2022-06-30,69900,86046.41805231245,63533.58194768754
2022-07-01,67300,84877.47691409812,63062.52308590187
2022-07-04,68100,82785.33800067707,63394.661999322925
2022-07-05,72000,81362.99803111798,63827.001968882025
2022-07-06,73500,79920.41261034027,64469.58738965973
2022-07-07,73000,78232.93894691682,65327.06105308318
2022-07-08,71800,76497.46632003758,66232.53367996242
2022-07-11,71300,75633.49457964776,66576.50542035224
2022-07-12,70300,74514.11769840633,67065.88230159367
2022-07-13,71900,74404.26931280806,67095.73068719194
2022-07-14,72100,74377.46586165989,67102.53413834011
2022-07-15,70100,74215.81143406352,67054.18856593648
