Date,ma_005,ma_010,ma_020,ma_060,ma_120,ma_240
2022-07-07,70780.0,70950.0,71780.0,81706.66666666667,88845.0,109185.41666666667
2022-07-08,71680.0,70980.0,71365.0,81335.0,88651.66666666667,108830.41666666667
2022-07-11,72320.0,70930.0,71105.0,80926.66666666667,88435.83333333333,108485.83333333333
2022-07-12,71980.0,70800.0,70790.0,80496.66666666667,88215.83333333333,108145.41666666667
2022-07-13,71660.0,70910.0,70750.0,80105.0,88032.5,107840.83333333333
2022-07-14,71480.0,71130.0,70740.0,79733.33333333333,87859.16666666667,107526.66666666667
2022-07-15,71140.0,71410.0,70635.0,79316.66666666667,87676.66666666667,107195.83333333333
2022-07-18,71440.0,71880.0,70795.0,78945.0,87530.0,106884.58333333333
2022-07-19,71940.0,71960.0,70910.0,78598.33333333333,87367.5,106571.25
2022-07-20,72240.0,71950.0,71155.0,78288.33333333333,87214.16666666667,106260.41666666667
2022-07-21,72560.0,72020.0,71485.0,78021.66666666667,87078.33333333333,105948.75
2022-07-22,72960.0,72050.0,71515.0,77720.0,86949.16666666667,105636.66666666667
2022-07-25,73000.0,72220.0,71575.0,77463.33333333333,86833.33333333333,105332.5
2022-07-26,72920.0,72430.0,71615.0,77181.66666666667,86748.33333333333,105034.16666666667
2022-07-27,72620.0,72430.0,71670.0,76881.66666666667,86639.16666666667,104710.83333333333
2022-07-28,72360.0,72460.0,71795.0,76633.33333333333,86533.33333333333,104391.66666666667
2022-07-29,72900.0,72930.0,72170.0,76405.0,86430.83333333333,104097.08333333333
2022-08-01,73100.0,73050.0,72465.0,76155.0,86314.16666666667,103788.75
2022-08-02,72980.0,72950.0,72455.0,75946.66666666667,86191.66666666667,103477.5
2022-08-03,73800.0,73210.0,72580.0,75811.66666666667,86107.5,103194.16666666667
2022-08-04,75660.0,74010.0,73015.0,75780.0,86060.83333333333,102920.0
2022-08-05,76940.0,74920.0,73485.0,75710.0,85973.33333333333,102650.0
2022-08-08,78540.0,75820.0,74020.0,75731.66666666667,85916.66666666667,102400.0
2022-08-09,80820.0,76900.0,74665.0,75755.0,85874.16666666667,102140.41666666667
2022-08-10,81680.0,77740.0,75085.0,75721.66666666667,85777.5,101864.58333333333
2022-08-11,82080.0,78870.0,75665.0,75730.0,85720.0,101613.33333333333
2022-08-12,82340.0,79640.0,76285.0,75728.33333333333,85645.83333333333,101338.33333333333
2022-08-16,82080.0,80310.0,76680.0,75733.33333333333,85541.66666666667,101053.75
2022-08-17,81460.0,81140.0,77045.0,75685.0,85444.16666666667,100758.33333333333
2022-08-18,81240.0,81460.0,77335.0,75623.33333333333,85332.5,100465.41666666667
2022-08-19,79840.0,80960.0,77485.0,75558.33333333333,85221.66666666667,100160.0
2022-08-22,78340.0,80340.0,77630.0,75445.0,85060.0,99841.25
2022-08-23,77160.0,79620.0,77720.0,75333.33333333333,84899.16666666667,99507.08333333333
2022-08-24,76120.0,78790.0,77845.0,75220.0,84729.16666666667,99177.5
2022-08-25,75500.0,78370.0,78055.0,75090.0,84558.33333333333,98848.75
2022-08-26,75360.0,77600.0,78235.0,74940.0,84402.5,98513.33333333333
2022-08-29,74800.0,76570.0,78105.0,74748.33333333333,84240.83333333333,98166.25
2022-08-30,74480.0,75820.0,78065.0,74540.0,84083.33333333333,97829.58333333333
2022-08-31,74180.0,75150.0,78145.0,74398.33333333333,83861.66666666667,97558.33333333333
2022-09-01,73240.0,74370.0,77915.0,74230.0,83610.83333333333,97320.41666666667
2022-09-02,72080.0,73720.0,77340.0,74045.0,83333.33333333333,97071.25
2022-09-05,71640.0,73220.0,76780.0,73876.66666666667,83058.33333333333,96844.16666666667
2022-09-06,70940.0,72710.0,76165.0,73763.33333333333,82772.5,96617.91666666667
2022-09-07,69760.0,71970.0,75380.0,73611.66666666667,82447.5,96388.75
2022-09-08,69080.0,71160.0,74765.0,73533.33333333333,82110.0,96165.83333333333
2022-09-13,69040.0,70560.0,74080.0,73495.0,81818.33333333333,95959.58333333333
2022-09-14,68660.0,70150.0,73360.0,73426.66666666667,81498.33333333333,95764.16666666667
2022-09-15,68200.0,69570.0,72695.0,73390.0,81172.5,95547.08333333333
2022-09-16,68080.0,68920.0,72035.0,73330.0,80855.0,95325.83333333333
2022-09-19,67560.0,68320.0,71345.0,73278.33333333333,80525.0,95108.75
2022-09-20,66620.0,67830.0,70775.0,73248.33333333333,80194.16666666667,94895.41666666667
2022-09-21,65800.0,67230.0,70225.0,73123.33333333333,79848.33333333333,94670.41666666667
2022-09-22,64580.0,66390.0,69550.0,72948.33333333333,79471.66666666667,94440.41666666667
2022-09-23,63400.0,65740.0,68855.0,72771.66666666667,79092.5,94232.08333333333
2022-09-26,62260.0,64910.0,68035.0,72586.66666666667,78706.66666666667,94010.0
2022-09-27,61060.0,63840.0,67200.0,72410.0,78321.66666666667,93759.16666666667
2022-09-28,59640.0,62720.0,66435.0,72236.66666666667,77900.0,93506.66666666667
2022-09-29,58560.0,61570.0,65570.0,72033.33333333333,77490.83333333333,93266.66666666667
2022-09-30,57780.0,60590.0,64755.0,71785.0,77134.16666666667,93017.08333333333
2022-10-04,57020.0,59640.0,63980.0,71491.66666666667,76783.33333333333,92743.75
2022-10-05,56060.0,58560.0,63195.0,71183.33333333333,76445.0,92462.5
2022-10-06,55640.0,57640.0,62435.0,70900.0,76117.5,92184.58333333333
2022-10-07,54640.0,56600.0,61495.0,70560.0,75743.33333333333,91865.41666666667
2022-10-11,53240.0,55510.0,60625.0,70223.33333333333,75360.0,91540.83333333333
2022-10-12,52030.0,54525.0,59717.5,69855.83333333333,74980.41666666667,91215.20833333333
2022-10-13,50590.0,53325.0,58582.5,69442.5,74587.91666666667,90881.04166666667
2022-10-14,49910.0,52775.0,57747.5,69130.83333333333,74223.75,90570.20833333333
2022-10-17,49400.0,52020.0,56795.0,68723.33333333333,73834.16666666667,90240.41666666667
2022-10-18,49260.0,51250.0,55920.0,68333.33333333333,73465.83333333333,89910.83333333333
2022-10-19,49250.0,50640.0,55140.0,67940.0,73114.16666666667,89595.41666666667
2022-10-20,49340.0,49965.0,54262.5,67507.5,72764.58333333333,89271.45833333333
2022-10-21,48830.0,49370.0,53505.0,67120.0,72420.0,88952.08333333333
2022-10-24,48850.0,49125.0,52862.5,66710.83333333333,72087.08333333333,88620.625
2022-10-25,48730.0,48995.0,52252.5,66317.5,71749.58333333333,88305.20833333333
2022-10-26,48310.0,48780.0,51652.5,65914.16666666667,71397.91666666667,87962.29166666667
2022-10-27,48510.0,48925.0,51125.0,65520.0,71076.66666666667,87630.0
2022-10-28,48490.0,48660.0,50717.5,65085.833333333336,70745.41666666667,87312.29166666667
2022-10-31,48940.0,48895.0,50457.5,64697.5,70426.25,87000.625
2022-11-01,49320.0,49025.0,50137.5,64345.833333333336,70146.25,86695.20833333333
2022-11-02,50240.0,49275.0,49957.5,63950.833333333336,69881.25,86390.20833333333
