Date,macd,signal,histogram
2020-11-03,-1907.4177727963688,-1619.6091955962615,-287.80857720010727
2020-11-04,-1498.060169658318,-1595.299390408673,97.23922075035489
2020-11-05,-1104.1867179728579,-1497.07685592151,392.8901379486522
2020-11-06,-662.9561023449642,-1330.252705206201,667.2966028612368
2020-11-09,-293.6733567408228,-1122.9368355131253,829.2634787723025
2020-11-10,-249.1735035553429,-948.1841691215689,699.010665566226
2020-11-11,-219.52634218716412,-802.452603734688,582.9262615475238
2020-11-12,-161.72840844072925,-674.3077646758962,512.579356235167
2020-11-13,13.51189188414719,-536.7438333638876,550.2557252480348
2020-11-16,94.57466972403927,-410.4801327463022,505.0548024703415
2020-11-17,157.0076190889231,-296.98258237925717,453.99020146818026
2020-11-18,260.21283447064343,-185.54349900927704,445.7563334799205
2020-11-19,338.10623302361637,-80.81355260269835,418.9197856263147
2020-11-20,395.2807619978994,14.405310317421197,380.8754516804782
2020-11-23,459.5823928239406,103.44072681872508,356.14166600521554
2020-11-24,600.7693412736844,202.90644970971698,397.8628915639674
2020-11-25,608.4939380217984,284.02394737213325,324.46999064966514
2020-11-26,719.6913407387183,371.1574260454503,348.533914693268
2020-11-27,782.5760141979845,453.4411436759571,329.13487052202737
2020-11-30,742.835219737899,511.3199588883455,231.5152608495535
2020-12-01,807.3364751353802,570.5232621377525,236.81321299762772
2020-12-02,824.659835060651,621.3505767223321,203.30925833831884
2020-12-03,844.8686232065374,666.0541860191732,178.8144371873642
2020-12-04,1099.2445270449825,752.6922542243351,346.55227282064743
2020-12-07,1213.9009243309993,844.9339882456679,368.9669360853313
2020-12-08,1121.8180341780972,900.3107974321538,221.50723674594337
2020-12-09,1044.866276546294,929.221893254982,115.64438329131212
2020-12-10,900.6349419168691,923.5045029873595,-22.869561070490363
2020-12-11,841.4265180115617,907.0889059921999,-65.66238798063819
2020-12-14,769.4150574816304,879.554136290086,-110.13907880845568
2020-12-15,664.1819752148003,836.4797040750288,-172.29772886022852
2020-12-16,590.1995663138514,787.2236765227934,-197.02411020894203
2020-12-17,477.48742753033,725.2764267243008,-247.78899919397077
2020-12-18,351.75014013548207,650.571169406537,-298.82102927105495
2020-12-21,449.37761992430023,610.3324595100896,-160.9548395857894
2020-12-22,464.66550158307655,581.199067924687,-116.53356634161048
2020-12-23,495.35924930337933,564.0311042004255,-68.67185489704616
2020-12-24,457.76193769616657,542.7772708995738,-85.01533320340718
2020-12-28,407.05450623530487,515.6327179667201,-108.5782117314152
2020-12-29,546.8016239655553,521.8664991664872,24.93512479906815
2020-12-30,730.1499170708412,563.523182747358,166.62673432348322
2021-01-04,969.5008599075081,644.718718179388,324.7821417281201
2021-01-05,1097.9552925013995,735.3660330437904,362.58925945760916
2021-01-06,1226.1295027387678,833.5187269827859,392.6107757559819
2021-01-07,1424.6576788194507,951.7465173501189,472.9111614693318
2021-01-08,2068.3631423718907,1175.0698423544732,893.2933000174176
2021-01-11,2853.290634985664,1510.7140008807114,1342.5766341049525
2021-01-12,3507.780372674679,1910.127275239505,1597.6530974351738
2021-01-13,3932.559735562958,2314.613767304196,1617.9459682587622
2021-01-14,4172.525792121422,2686.196172267641,1486.3296198537805
2021-01-15,4088.823690654448,2966.7216759450025,1122.1020147094455
2021-01-18,3816.5462756515044,3136.6865958863027,679.8596797652017
2021-01-19,3759.878257906719,3261.324928290386,498.55332961633303
2021-01-20,3736.689602888364,3356.397863209982,380.2917396783819
2021-01-21,3836.041060034797,3452.326502574945,383.7145574598517
2021-01-22,4014.2333291947143,3564.707867898899,449.52546129581515
2021-01-25,4276.255952277905,3707.0174847747003,569.2384675032044
2021-01-26,4232.663922473803,3812.146772314521,420.51715015928175
2021-01-27,4214.332116530728,3892.5838411577624,321.7482753729655
2021-01-28,4039.8632416006294,3922.039721246336,117.82352035429358
2021-01-29,3584.95043940068,3854.6218648772046,-269.67142547652475
2021-02-01,3195.6603471995622,3722.8295613416763,-527.169214142114
2021-02-02,2918.3001855354523,3561.9236861804316,-643.6235006449792
2021-02-03,2931.94336160447,3435.9276212652394,-503.98425966076957
2021-02-04,2789.083247566188,3306.5587465254293,-517.4754989592411
2021-02-05,2653.4283633758896,3175.9326698955215,-522.5043065196319
2021-02-08,2548.8961508236534,3050.5253660811477,-501.62921525749425
2021-02-09,2502.0074241707916,2940.821777699077,-438.8143535282852
2021-02-10,2893.0546334977844,2931.268348858818,-38.21371536103379
2021-02-15,3366.609516776807,3018.336582442416,348.27293433439127
2021-02-16,3891.4333197244414,3192.955929898821,698.4773898256203
2021-02-17,4178.1820733760105,3390.0011585942593,788.1809147817512
2021-02-18,4227.193979246891,3557.4397227247855,669.7542565221056
2021-02-19,4265.443261860855,3699.0404305519996,566.4028313088556
2021-02-22,4030.619272320677,3765.3561989057353,265.2630734149416
2021-02-23,3744.7073799764185,3761.2264351198723,-16.519055143453897
2021-02-24,3261.845271957689,3661.3502024874356,-399.5049305297466
2021-02-25,3022.499229812456,3533.5800079524397,-511.0807781399835
2021-02-26,2856.5329662535223,3398.1705996126566,-541.6376333591343
2021-03-02,2750.029107724389,3268.5423012350034,-518.5131935106142
2021-03-03,2667.2351546576974,3148.2808719195427,-481.0457172618453
2021-03-04,2387.858295079437,2996.1963565515216,-608.3380614720845
2021-03-05,1965.6244786568132,2790.0819809725804,-824.4575023157672
2021-03-08,1340.2318933837232,2500.111963454809,-1159.8800700710858
